n,w,time,res
48,11,30209,46
49,11,26229,46
50,11,41117,46
51,11,32171,46
52,11,35150,46
53,11,46968,50
54,11,46218,50
55,11,46834,50
56,11,48957,50
57,11,49443,50
58,11,192787,50
59,11,69806,50
60,11,74237,50
61,11,86668,50
62,11,131460,53
63,11,127559,56
64,11,132462,56
65,11,162402,56
66,11,162722,56
67,11,216804,58
68,11,213100,58
69,11,224265,58
70,11,238791,58
71,11,233649,58
72,11,245962,58
73,11,282559,58
74,11,334340,58
75,11,346187,58
76,11,375141,58
77,11,591316,58
78,11,493885,58
79,11,586378,59
80,11,830288,59
81,11,1327257,59
82,11,1409656,59
83,11,1937246,64
84,11,2878162,64
85,11,1867611,64
86,11,2993357,66
87,11,2309675,66
88,11,1859963,68
89,11,1914423,68
90,11,2018985,68
91,11,2048960,68
92,11,1985688,68
93,11,2031925,68
94,11,2179267,68
95,11,2251720,68
96,11,2379249,68
97,11,2209058,68
98,11,2278006,68
99,11,2293742,68
0,12,59,0
1,12,66,2
2,12,98,8
3,12,110,8
4,12,148,17
5,12,222,23
6,12,240,23
7,12,305,23
8,12,372,30
9,12,396,30
10,12,428,30
11,12,671,30
12,12,765,30
13,12,856,30
14,12,1066,36
15,12,1251,36
16,12,1394,36
17,12,1621,36
18,12,1773,36
19,12,1948,36
20,12,1744,36
21,12,3154,45
22,12,3141,45
23,12,3447,45
24,12,3773,45
25,12,6009,45
26,12,5411,45
27,12,7457,45
28,12,9213,45
29,12,10595,45
30,12,10535,45
31,12,11617,45
32,12,12765,45
33,12,11579,45
34,12,16804,45
35,12,12931,45
36,12,13075,45
37,12,13956,49
38,12,15145,49
39,12,15092,49
40,12,14968,49
41,12,16118,49
42,12,20419,56
43,12,19761,56
44,12,19842,56
45,12,20300,56
46,12,24213,56
47,12,27480,56
48,12,24303,56
49,12,25998,56
50,12,30065,56
51,12,30354,56
52,12,32880,56
53,12,42936,56
54,12,43088,56
55,12,46244,56
56,12,49389,56
57,12,51651,56
58,12,48245,56
59,12,55184,56
60,12,55952,56
61,12,64328,56
62,12,90379,59
63,12,124839,66
64,12,143757,66
65,12,138620,66
66,12,139985,66
67,12,191490,68
68,12,196414,68
69,12,198669,68
70,12,215686,68
71,12,201785,68
72,12,204359,68
73,12,238289,68
74,12,273697,68
75,12,312225,68
76,12,405991,68
77,12,371570,68
78,12,424335,68
79,12,564950,68
80,12,559956,68
81,12,654300,68
82,12,670210,68
83,12,931889,75
84,12,907402,75
85,12,910547,75
86,12,1135224,78
87,12,1350819,78
88,12,1812068,78
89,12,1969517,78
90,12,1906270,78
91,12,2267437,78
92,12,2069605,78
93,12,2167601,78
94,12,2185725,78
95,12,2102088,78
96,12,2239584,78
97,12,2199725,78
98,12,2158812,78
99,12,2212757,78
0,13,60,0
1,13,67,2
2,13,98,8
3,13,110,8
4,13,149,17
5,13,222,24
6,13,241,24
7,13,325,24
8,13,402,31
9,13,423,31
10,13,450,31
11,13,700,32
12,13,789,32
13,13,865,32
14,13,979,40
15,13,1179,40
16,13,1313,40
17,13,1456,40
18,13,1633,40
19,13,1787,40
20,13,1806,40
21,13,2706,45
22,13,2853,45
23,13,3524,45
24,13,3577,45
25,13,4521,46
26,13,4689,46
27,13,5309,46
28,13,6085,46
29,13,7333,46
30,13,7005,46
31,13,6851,46
32,13,7518,46
33,13,8054,46
34,13,8843,46
35,13,8795,46
36,13,9752,46
37,13,11154,52
38,13,11764,52
39,13,11760,52
40,13,12561,52
41,13,12354,52
42,13,15859,59
43,13,16473,59
44,13,16350,59
45,13,16660,59
46,13,18720,59
47,13,21509,59
48,13,22496,59
49,13,25361,59
50,13,27906,59
51,13,27398,59
52,13,32207,59
53,13,53242,59
54,13,45821,59
55,13,48178,59
56,13,47440,59
57,13,51764,59
58,13,51247,59
59,13,56980,59
60,13,60229,59
61,13,68921,59
62,13,97979,63
63,13,118271,71
64,13,118824,71
65,13,137366,71
66,13,136753,71
67,13,200178,72
68,13,275338,72
69,13,212601,72
70,13,206260,72
71,13,214419,72
72,13,296099,72
73,13,239131,72
74,13,310154,75
75,13,323359,75
76,13,322235,75
77,13,408190,75
78,13,428809,75
79,13,594273,76
80,13,585276,76
81,13,701285,76
82,13,653017,76
83,13,892941,82
84,13,915586,82
85,13,951086,82
86,13,1157454,86
87,13,1494838,86
88,13,2035260,88
89,13,2176847,88
90,13,2044640,88
91,13,2061743,88
92,13,2286844,88
93,13,2110480,88
94,13,2031282,88
95,13,2333164,88
96,13,2246895,88
97,13,2313787,88
98,13,2377327,88
99,13,2277722,88
0,14,62,0
1,14,69,2
2,14,101,9
3,14,113,9
4,14,153,19
5,14,230,26
6,14,249,26
7,14,338,26
8,14,419,34
9,14,435,34
10,14,461,34
11,14,724,36
12,14,807,36
13,14,984,36
14,14,1087,44
15,14,2210,44
16,14,1386,44
17,14,1489,44
18,14,1677,44
19,14,1866,44
20,14,1835,44
21,14,2741,52
22,14,3693,52
23,14,3094,52
24,14,3406,52
25,14,3895,52
26,14,5140,52
27,14,4822,52
28,14,5476,52
29,14,6419,52
30,14,6663,52
31,14,7671,52
