n,w,time,res
5,12,543,23
6,12,637,23
7,12,727,23
8,12,835,30
9,12,1349,30
10,12,1045,30
11,12,1142,30
12,12,1233,30
13,12,1306,30
14,12,1947,36
15,12,1517,36
16,12,1590,36
17,12,1701,36
18,12,1791,36
19,12,1881,36
20,12,1960,36
21,12,2063,45
22,12,2809,45
23,12,2234,45
24,12,2324,45
25,12,2436,45
26,12,2523,45
27,12,2629,45
28,12,2734,45
29,12,2840,45
30,12,2916,45
31,12,3005,45
32,12,3103,45
33,12,3471,45
34,12,3288,45
35,12,3385,45
36,12,3484,45
37,12,3584,49
38,12,3680,49
39,12,3762,49
40,12,3832,49
41,12,4203,49
42,12,4042,56
43,12,4123,56
44,12,4591,56
45,12,4239,56
46,12,4324,56
47,12,4428,56
48,12,5326,56
49,12,4571,56
50,12,4683,56
51,12,4784,56
52,12,4887,56
53,12,4992,56
54,12,5631,56
55,12,6670,56
56,12,7122,56
57,12,7271,56
58,12,6045,56
59,12,138890,56
60,12,5469,56
61,12,6053,56
62,12,6924,59
63,12,6289,66
64,12,6069,66
65,12,6176,66
66,12,8839,66
67,12,7455,68
68,12,8253,68
69,12,7715,68
70,12,9163,68
71,12,10344,68
72,12,9973,68
73,12,9933,68
74,12,10912,68
75,12,10408,68
76,12,14298,68
77,12,10141,68
78,12,9738,68
79,12,9848,68
80,12,10453,68
81,12,10871,68
82,12,10566,68
83,12,11091,75
84,12,10154,75
85,12,10123,75
86,12,10931,78
87,12,10676,78
88,12,10742,78
89,12,11273,78
90,12,11073,78
91,12,11651,78
92,12,11223,78
93,12,12519,78
94,12,12760,78
95,12,13494,78
96,12,15094,78
97,12,14143,78
98,12,12640,78
99,12,11962,78
0,13,90,0
1,13,241,2
2,13,351,8
3,13,472,8
4,13,623,17
5,13,743,24
6,13,874,24
7,13,984,24
8,13,1137,31
9,13,1250,31
10,13,1380,31
11,13,1510,32
12,13,2042,32
13,13,1617,32
14,13,1745,40
15,13,1872,40
16,13,1985,40
17,13,2116,40
18,13,2230,40
19,13,2344,40
20,13,2428,40
21,13,2556,45
22,13,2658,45
23,13,2932,45
24,13,3499,45
25,13,2725,46
26,13,2814,46
27,13,2935,46
28,13,3058,46
29,13,3158,46
30,13,3256,46
31,13,3341,46
32,13,3451,46
33,13,3924,46
34,13,3650,46
35,13,3744,46
36,13,3854,46
37,13,3972,52
38,13,4077,52
39,13,4161,52
40,13,4256,52
41,13,4976,52
42,13,4346,59
43,13,4436,59
44,13,4526,59
45,13,4614,59
46,13,4728,59
47,13,5653,59
48,13,4769,59
