n,w,time,res
8,30,5237,66
9,30,5698,66
10,30,6307,66
11,30,7099,70
12,30,7485,70
13,30,7956,70
14,30,8478,70
15,30,8716,70
16,30,9244,70
17,30,9410,70
18,30,10911,70
19,30,12445,70
20,30,13515,89
21,30,14101,89
22,30,14451,89
23,30,15316,89
24,30,15970,96
25,30,16330,96
26,30,16697,96
27,30,17721,100
28,30,18725,116
29,30,24786,120
30,30,23311,120
31,30,20858,131
32,30,27221,131
33,30,23082,131
34,30,22046,131
35,30,21633,154
36,30,20147,154
37,30,20600,154
38,30,21564,154
39,30,20678,154
40,30,22355,154
41,30,21960,158
42,30,22551,158
43,30,23144,158
44,30,24400,172
45,30,26176,180
46,30,30303,203
47,30,25909,203
48,30,26308,203
49,30,27036,203
0,31,200,0
1,31,758,2
2,31,1446,31
3,31,2038,32
4,31,2552,54
5,31,3940,85
6,31,5416,100
7,31,4797,100
8,31,5504,100
9,31,6160,100
10,31,6740,100
11,31,7616,100
12,31,8450,117
13,31,9590,117
14,31,9724,117
15,31,9666,117
16,31,10458,136
17,31,10785,136
18,31,11176,136
19,31,12015,136
